,title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Has_Service_History,Mileage,Car_Age,Engine_Bin,Mileage_per_Year,Log_Price,Log_Mileage,Age_Band,title_lower,Is_Premium,Brand,Model,Usage_Level,Expected_Mileage,Mileage_Delta,Owners_per_Year,Price_per_Seat,Price_per_Year_Age,Door_Category,Is_Family_Car,Brand_Avg_Price,Model_Avg_Price,Engine_per_Seat,Car_Age_Squared,Premium_Age
0,SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4,Manual,5.0,5.0,Euro 6,0,70189,7,Small (≤1.4L),10027.0,8.83927669058535,11.158946882579238,6-10,skoda fabia,0,Skoda,Fabia,Normal,63000,7189,0.42857142857142855,1380.0,862.5,Family,1,5569.619047619048,5444.8378378378375,0.27999999999999997,49,0
1,Vauxhall Corsa,1495,88585,2008,4,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,1,88585,15,Small (≤1.4L),5905.666666666667,7.3098814858247865,11.391717822034538,10+,vauxhall corsa,0,Vauxhall,Corsa,Normal,135000,-46415,0.26666666666666666,299.0,93.4375,Small,1,4633.5329670329675,4975.198198198198,0.24,225,0
2,Hyundai i30,949,137000,2011,3,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,0,137000,12,Small (≤1.4L),11416.666666666666,6.855408798609928,11.827736204810263,10+,hyundai i30,0,Hyundai,i30,Normal,108000,29000,0.25,189.8,73.0,Family,1,4997.118279569892,3320.5238095238096,0.27999999999999997,144,0
3,MINI Hatch,2395,96731,2010,5,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 4,1,96731,13,Small (≤1.4L),7440.846153846154,7.781138509845015,11.479689209177533,10+,mini hatch,0,Mini,Hatch,Normal,117000,-20269,0.38461538461538464,598.75,171.07142857142858,Small,0,6480.1752577319585,6124.846153846154,0.35,169,0
4,Vauxhall Corsa,1000,85000,2013,3,Diesel,Hatchback,1.3,Manual,5.0,5.0,Euro 5,0,85000,10,Small (≤1.4L),8500.0,6.907755278982137,11.350406535472453,6-10,vauxhall corsa,0,Vauxhall,Corsa,Normal,90000,-5000,0.3,200.0,90.9090909090909,Family,1,4633.5329670329675,4975.198198198198,0.26,100,0
5,Hyundai Coupe,800,124196,2007,3,Petrol,Coupe,2.0,Manual,3.0,4.0,Euro 4,0,124196,16,Medium (1.4–2.0L),7762.25,6.684611727667927,11.729616241843724,10+,hyundai coupe,0,Hyundai,Coupe,Normal,144000,-19804,0.1875,200.0,47.05882352941177,Small,0,4997.118279569892,3430.0,0.5,256,0
6,Ford Focus,798,140599,2008,3,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,0,140599,15,Medium (1.4–2.0L),9373.266666666666,6.682108597449809,11.853667145957875,10+,ford focus,0,Ford,Focus,Normal,135000,5599,0.2,159.6,49.875,Family,1,4866.40931372549,4982.664596273292,0.32,225,0
7,Vauxhall Corsa,1995,90000,2009,3,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,0,90000,14,Small (≤1.4L),6428.571428571428,7.598399329323964,11.407564949312402,10+,vauxhall corsa,0,Vauxhall,Corsa,Normal,126000,-36000,0.21428571428571427,399.0,133.0,Small,1,4633.5329670329675,4975.198198198198,0.24,196,0
8,Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,0,87000,15,Medium (1.4–2.0L),5800.0,7.1693500166706,11.37366339763672,10+,peugeot 207,0,Peugeot,207,Normal,135000,-48000,0.3333333333333333,259.8,81.1875,Family,1,5463.955102040816,1680.4255319148936,0.32,225,0
9,Ford Fiesta,1495,181693,2009,3,Diesel,Hatchback,1.6,Manual,3.0,5.0,Euro 4,1,181693,14,Medium (1.4–2.0L),12978.07142857143,7.3098814858247865,12.110073728600877,10+,ford fiesta,0,Ford,Fiesta,High,126000,55693,0.21428571428571427,299.0,99.66666666666667,Small,1,4866.40931372549,4458.5078125,0.32,196,0
