,Registration_Year,Fuel type,Body type,Engine,Gearbox,Emission Class,Car_Age,Mileage_per_Year,Log_Price,Log_Mileage,Brand,Model,Car_Age_Squared,Premium_Age,Mileage_Age_Interaction,Mileage_per_Age,Age_3_plus,Age_5_plus,Age_8_plus,Engine_Age,Engine_per_Year,Mileage_Ratio,Mileage_Above_Normal,Is_New,Is_Old,Lifecycle_Stage,Is_Early_Life,Is_Mid_Life,Is_End_of_Life,Remaining_Life,Depreciation_Phase,Brand_Tier,Brand_Strength,Brand_Residual_Score,Age_Adjusted_Mileage
0,2016,Diesel,Hatchback,1.4,Manual,Euro 6,7,10027.0,8.83927669058535,11.158946882579238,Skoda,Fabia,49,0,78.11262817805466,1.3948683603224048,4,2,0,9.799999999999999,0.175,0.8355833333333333,-1973.0,0,0,Mid,0,1,0,8,0.4666666666666667,Upper_Mid,2,0.25,5.579473441289619
1,2008,Petrol,Hatchback,1.2,Manual,Euro 4,15,5905.666666666667,7.309881485824787,11.391717822034538,Vauxhall,Corsa,225,0,170.87576733051807,0.7119823638771586,12,10,7,18.0,0.075,0.4921388888888889,-6094.333333333333,0,1,Late,0,0,1,0,1.0,Budget,0,0.0,11.391717822034538
2,2011,Petrol,Hatchback,1.4,Manual,Euro 5,12,11416.666666666666,6.855408798609928,11.827736204810265,Hyundai,i30,144,0,141.93283445772317,0.9098258619084819,9,7,4,16.799999999999997,0.10769230769230768,0.9513888888888888,-583.3333333333339,0,1,Late,0,0,1,3,0.8,Mid,1,0.07692307692307693,11.827736204810265
3,2010,Petrol,Hatchback,1.4,Manual,Euro 4,13,7440.846153846154,7.781138509845015,11.479689209177533,Mini,Hatch,169,0,149.2359597193079,0.819977800655538,10,8,5,18.2,0.09999999999999999,0.6200705128205128,-4559.153846153846,0,1,Late,0,0,1,2,0.8666666666666667,Upper_Mid,2,0.14285714285714285,5.739844604588766
4,2013,Diesel,Hatchback,1.3,Manual,Euro 5,10,8500.0,6.907755278982137,11.350406535472452,Vauxhall,Corsa,100,0,113.50406535472452,1.0318551395884048,7,5,2,13.0,0.11818181818181818,0.7083333333333334,-3500.0,0,1,Mid,0,1,0,5,0.6666666666666666,Budget,0,0.0,11.350406535472452
5,2007,Petrol,Coupe,2.0,Manual,Euro 4,16,7762.25,6.684611727667927,11.729616241843724,Hyundai,Coupe,256,0,187.67385986949958,0.6899774259908072,13,11,8,32.0,0.11764705882352941,0.6468541666666666,-4237.75,0,1,Late,0,0,1,0,1.0666666666666667,Mid,1,0.058823529411764705,11.729616241843724
6,2008,Petrol,Hatchback,1.6,Manual,Euro 4,15,9373.266666666666,6.682108597449809,11.853667145957877,Ford,Focus,225,0,177.80500718936815,0.7408541966223673,12,10,7,24.0,0.1,0.7811055555555555,-2626.7333333333336,0,1,Late,0,0,1,0,1.0,Mid,1,0.0625,11.853667145957877
7,2009,Petrol,Hatchback,1.2,Manual,Euro 4,14,6428.571428571428,7.598399329323964,11.407564949312402,Vauxhall,Corsa,196,0,159.70590929037363,0.7605043299541602,11,9,6,16.8,0.08,0.5357142857142857,-5571.428571428572,0,1,Late,0,0,1,1,0.9333333333333333,Budget,0,0.0,11.407564949312402
8,2008,Diesel,Hatchback,1.6,Manual,Euro 4,15,5800.0,7.1693500166706,11.37366339763672,Peugeot,207,225,0,170.6049509645508,0.710853962352295,12,10,7,24.0,0.1,0.48333333333333334,-6200.0,0,1,Late,0,0,1,0,1.0,Mid,1,0.0625,11.37366339763672
9,2009,Diesel,Hatchback,1.6,Manual,Euro 4,14,12978.07142857143,7.309881485824787,12.110073728600875,Ford,Fiesta,196,0,169.54103220041225,0.8073382485733916,11,9,6,22.400000000000002,0.10666666666666667,1.0815059523809525,978.0714285714294,0,1,Late,0,0,1,1,0.9333333333333333,Mid,1,0.06666666666666667,12.110073728600875
10,2011,Petrol,Hatchback,1.8,Manual,Euro 5,12,6583.333333333333,7.989560449333865,11.27720313144916,Vauxhall,Insignia,144,0,135.32643757738992,0.8674771639576276,9,7,4,21.6,0.13846153846153847,0.548611111111111,-5416.666666666667,0,1,Late,0,0,1,3,0.8,Budget,0,0.0,11.27720313144916
11,2016,Diesel,Hatchback,1.4,Manual,Euro 6,7,10027.0,8.83927669058535,11.158946882579238,Skoda,Fabia,49,0,78.11262817805466,1.3948683603224048,4,2,0,9.799999999999999,0.175,0.8355833333333333,-1973.0,0,0,Mid,0,1,0,8,0.4666666666666667,Upper_Mid,2,0.25,5.579473441289619
12,2019,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,Euro 6,4,17422.5,9.893437216682626,11.151812114432564,BMW,3 Series,16,4,44.60724845773026,2.230362422886513,1,0,0,8.0,0.4,1.451875,5422.5,0,0,Early,1,0,0,11,0.26666666666666666,Premium,3,0.6000000000000001,3.7172707048108546
13,2008,Petrol,Hatchback,1.0,Manual,Euro 4,15,10999.0,7.003065458786462,12.013609839659326,Citroen,C1,225,0,180.2041475948899,0.7508506149787079,12,10,7,15.0,0.0625,0.9165833333333333,-1001.0,0,1,Late,0,0,1,0,1.0,Mid,1,0.0625,12.013609839659326
14,2007,Petrol,Hatchback,1.4,Manual,Euro 4,16,6812.5,7.166265974133638,11.59910316121128,Vauxhall,Corsa,256,0,185.58565057938048,0.6823001859536048,13,11,8,22.4,0.08235294117647059,0.5677083333333334,-5187.5,0,1,Late,0,0,1,0,1.0666666666666667,Budget,0,0.0,11.59910316121128
15,2007,Diesel,Hatchback,1.6,Manual,Euro 4,16,6962.5,6.906754778648554,11.62088260647532,Peugeot,207,256,0,185.93412170360511,0.6835813297926658,13,11,8,25.6,0.09411764705882353,0.5802083333333333,-5037.5,0,1,Late,0,0,1,0,1.0666666666666667,Mid,1,0.058823529411764705,11.62088260647532
